titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
"Encanto, la fantastique famille Madrigal",01/12/2021,526906,410852,284646
Grand marin,18/01/2023,9462,3594,280842
The Grand Budapest Hotel,05/03/2014,405061,229669,207825
Intouchables,02/11/2011,78887,2126545,182745
Glass Onion : une histoire à couteaux tirés,28/11/2022,9400000,,280185
Le Petit Spirou,04/10/2017,224512,101870,229351
La Vie est belle,18/11/1998,410237,,64439
The Dark Knight Rises,01/08/2012,1835547,954334,132874
Sans un bruit,27/06/2018,232862,216813,254612
Réalité,25/02/2015,40908,20214,204027
Les Gardiens de la Galaxie,13/08/2014,62202,873264,196604
Downton Abbey II : Une nouvelle ère,04/05/2022,181353,107791,279664
L'Intervention,06/02/2019,43497,17019,261322
Les Nouvelles Aventures D'Aladin,21/10/2015,1452753,1365473,228897
Split,01/03/2017,594427,410371,240516
Chaos,25/01/2006,100296,55873,56148
Hérédité,20/06/2018,89652,40212,261860
Vice Versa,24/06/2015,787437,738197,196960
À la recherche du bonheur,07/02/2007,338027,232873,54098
Sick Of Myself,07/06/2023,14638,8570,303683
Imitation Game,04/02/2015,297339,231685,198371
Jurassic World: Le Monde d'après,15/06/2022,1299065,627968,242492
Un homme heureux,22/02/2023,233008,135617,288192
Prisoners,16/10/2013,354954,291860,180887
The French Dispatch,03/11/2021,197450,97996,269684
Shutter Island,03/03/2010,1073540,652161,132039
La Vie scolaire,04/09/2019,485386,322197,266409
Matrix Resurrections,29/12/2021,513133,223335,254560
Close,02/11/2022,19030,82750,294372
Fahim,23/10/2019,115825,51583,266327
Le Clan,25/01/2023,101291,48794,305550
Budapest,04/07/2018,126231,58307,47133
Spider-Man: No Way Home,22/12/2021,2867515,1737100,256880
Revoir Paris,14/09/2022,142841,114784,290439
Bowling Saturne,02/11/2022,7643,3231,286639
Crazy Bear,22/03/2023,75915,20862,291027
Mademoiselle Chambon,21/10/2009,165891,137232,136372
Coup de théâtre,21/09/2022,56893,34963,288451
Don't Worry Darling,28/09/2022,151272,91621,276064
Les Blagues de Toto,12/08/2020,205528,263107,255535
Le Seigneur des anneaux : la communauté de l'anneau,26/12/2001,1978162,1975260,27070
Incroyable mais vrai,22/06/2022,133330,78854,285168
Aftersun,08/02/2023,38094,28933,303803
Smile,05/10/2022,226686,243762,304967
"Stars 80, la suite",13/12/2017,178540,82874,240961
La Vie d'Adèle - Chapitres 1 et 2,16/10/2013,323457,239573,203302
Five,06/04/2016,237226,163335,221620
Citoyen d'honneur,21/09/2022,57538,35817,290966
Misanthrope,03/05/2023,100146,49024,273946
Annie Colère,07/12/2022,68373,38078,280229
Là où chantent les écrevisses,24/08/2022,110381,55542,285346
Ni une ni deux,05/06/2019,44702,24401,263125
En Attendant Bojangles,12/01/2022,228476,125509,277530
Comme une actrice,15/03/2023,6161,2003,287142
Cinquante Nuances de Grey,18/02/2015,2081638,905314,205450
Operation Fortune: Ruse De Guerre,06/03/2023,3140214,1272319,286242
Une belle course,28/09/2022,180034,117217,292290
John Wick,05/11/2014,184851,113581,221387
Kandahar,29/05/2023,2410000,750133,284784
Il faut sauver le soldat Ryan,18/11/1998,165808,,18598
